Name,Cytoplasm,Nucleus,Mitochondrion,Endoplasmic reticulum,Extracellular region,Cytoskeleton,Plasma membrane,Intracellular vesicle,Ribosome,Golgi apparatus,Vacuole,Endosome,Lysosome,Peroxisome,APC
SLAF6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,13.21433571
IL1AP,0,0,0,0,1,0,1,0,0,0,0,0,0,0,7.396163251
S39AA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.618338508
BT3A1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,37.55406554
IGF1R,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.087710901
MPZL1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.990175663
CNNM3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20.31533209
TRAT1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5.716681915
SIRPG,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11.67388626
ITA6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14.44940919
RECK,0,0,0,0,1,0,1,0,0,0,0,0,0,0,19.3765784
CD226,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.167097833
LY9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.974215346
SELPL,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.195397952
CD7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.645234148
CD81,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2.626647322
SC5A6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.531774
CD69,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13.29732948
S29A1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.380055546
C99L2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.637665198
BT3A2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.957174808
S4A7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,116.7045086
CAHD1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,45.84119556
H14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18.61773871
S12A7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23.02671341
CLDN1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10.16234261
SEM4D,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2.14771831
CTR1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.287442216
CD6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,7.974006684
SPIT1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,5.682615774
DCD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8.261303097
I10R2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.613100181
FKBP3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.173871313
TSN7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.80401139
F1711,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.197279597
PTPRC,1,0,0,0,1,0,1,1,0,0,0,0,0,0,9.831539541
TFR1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,6.015930554
4F2,1,1,0,0,1,0,1,1,0,0,1,0,1,0,9.63717478
HLAA,1,0,0,1,1,0,1,1,0,1,0,1,0,0,5.177720949
PYC,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5.995212448
PECA1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,5.971051089
CD99,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3.056456846
BASI,1,0,1,1,1,0,1,1,0,1,0,1,0,0,3.34075654
ACACA,1,1,0,0,0,1,0,0,0,0,0,0,0,0,54.63707659
MPRI,1,1,0,0,1,0,1,1,0,1,0,1,0,0,6.604132901
K2C1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,2.677795799
B2MG,1,0,0,1,1,0,1,1,0,1,0,1,0,0,5.330939948
MCCA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4.846836103
ITB1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,5.473069378
PCCA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6.062148787
AT1B3,1,0,0,0,1,0,1,1,0,0,0,0,0,0,5.26794531
ITAL,1,0,0,0,1,0,1,1,0,0,0,0,0,0,9.838652222
ITB2,1,0,0,0,1,0,1,1,0,0,0,0,0,0,4.74821182
HLAB,1,0,0,1,1,0,1,1,0,1,0,1,0,0,4.693711774
ADA10,1,1,0,1,1,0,1,1,0,1,0,0,0,0,4.414786688
CD28,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4.457794592
CD47,1,0,0,0,1,0,1,1,0,0,0,0,0,0,7.524264221
HLAG,1,0,0,1,1,0,1,1,0,1,0,1,0,0,6.914403171
CD38,1,1,0,0,1,0,1,1,0,0,0,0,0,0,4.425626741
JAM3,1,0,0,0,1,1,1,0,0,1,0,0,0,0,3.162340372
PLXA1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,25.09798229
PLSL,1,0,0,0,1,1,1,0,0,0,0,0,0,0,2.761116279
ENOA,1,1,0,0,1,0,1,0,0,0,0,0,0,0,3.862652608
LCAP,1,0,0,0,1,0,1,1,0,0,1,1,1,0,12.22001086
LAT1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,6.259239317
FLNA,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1.450425981
SPTN1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,2.181738367
AGRE5,1,0,0,0,1,0,1,1,0,0,0,0,0,0,6.205315268
CD1C,1,0,0,0,1,0,1,1,0,0,1,1,1,0,4.216943844
XPO2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1.71374678
FLNB,1,1,0,0,1,1,1,1,0,0,0,0,0,0,2.669493556
CARM1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,19.90969099
SPTB2,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1.084258909
DX39A,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.573739217
PTPRS,1,0,0,0,1,0,1,1,0,0,0,0,0,0,12.55104101
BST2,1,0,0,0,1,0,1,1,0,1,1,1,1,0,8.836923265
HMGB1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1.565313368
S39AE,1,0,0,0,0,0,1,1,0,0,1,1,1,0,4.702642185
ITAV,1,0,0,0,1,0,1,1,0,0,0,0,0,0,38.84477911
CD3G,1,0,0,0,0,0,1,1,0,0,0,0,0,0,3.375653665
MOES,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1.339453481
ALDOA,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1.485361732
CD4,1,0,0,1,0,0,1,1,0,0,0,1,0,0,3.612574094
THY1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,3.311968133
CTL1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,9.768717772
MFGM,1,0,0,1,1,0,1,1,0,0,0,0,0,0,2.764298639
TNR6,1,1,0,0,1,0,1,0,0,0,0,0,0,0,8.81389591
LYAM1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,7.090139204
DAG1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,10.23191123
HLAC,1,0,0,1,1,0,1,1,0,1,0,1,0,0,3.364926372
AT2B4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2.228900605
CD59,1,0,0,1,1,0,1,1,0,1,0,0,0,0,5.55890204
CD1A,1,0,0,0,1,0,1,1,0,0,0,1,0,0,4.213956079
ANO6,1,0,0,0,1,0,1,1,0,0,0,0,0,0,12.50971549
TLN1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,2.021601913
INSR,1,1,0,0,1,0,1,1,0,0,1,1,1,0,110.7871976
TKT,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1.816590262
FPPS,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.72911558
BPL1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,66.53605706
CD1B,1,0,0,0,1,0,1,1,0,1,1,1,1,0,4.93108043
IQGA1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,2.675960265
CD1D,1,0,0,1,1,0,1,1,0,0,1,1,1,0,8.996901627
S39A6,1,0,0,1,0,0,1,0,0,0,0,0,0,0,3.789168259
EPHB2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,29.61807872
GDIB,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1.739497056
PNPH,1,1,0,0,1,0,0,1,0,0,0,0,0,0,4.876239759
INAR1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,18.91737388
EIF3L,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.49705286
THMS1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.386012365
ITB5,1,0,0,0,1,0,1,1,0,0,0,0,0,0,2.275910134
CC50A,1,0,0,1,0,0,1,1,0,1,1,0,1,0,7.988988115
LFA3,1,0,0,0,1,0,1,1,0,0,0,0,0,0,9.546304578
LSAMP,1,0,0,0,1,0,1,0,0,0,0,0,0,0,11.87680361
GTR1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,4.55329991
ATRN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,53.73375355
STMN1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,36.03684211
GLPC,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2.229643729
6PGD,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1.255869638
EPHB6,1,0,0,0,1,0,1,0,0,0,0,0,0,0,25.12378482
VLDLR,1,0,0,0,1,0,1,0,0,0,1,0,1,0,6.077029361
MYADM,1,0,0,0,0,1,1,0,0,0,0,0,0,0,5.089938251
ACTN4,1,1,0,0,1,1,1,1,0,0,0,0,0,0,7.416866188
SC16A,1,0,0,1,0,0,0,1,0,1,0,0,0,0,3.381832385
SYPL1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,3.918152003
JAM1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,21.99983376
CXCR4,1,1,0,0,1,0,1,1,0,0,1,1,1,0,3.772796837
CKAP5,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1.113155292
FAT1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,4.664952871
S38A2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5.193857965
LIS1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1.035441816
CAND1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1.383522727
TSN14,1,0,0,1,0,0,1,1,0,0,0,0,0,0,11.69067595
CAP1,1,0,0,0,1,1,1,1,0,0,1,0,1,0,1.353535638
TPM4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,20.81863267
CYRIB,1,0,1,0,1,0,0,1,0,0,0,0,0,0,3.746864358
NDKA,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1.001213025
ITM2A,1,0,0,0,0,0,1,0,0,1,0,0,0,0,5.169608596
SL9A1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,4.419798398
MDHC,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1.295127481
NUDC,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.265572803
PRIO,1,1,0,1,1,0,1,0,0,1,0,0,0,0,2.755739864
S39A8,1,0,0,0,0,0,1,0,0,0,1,0,1,0,5.543991883
CXAR,1,1,0,0,1,0,1,1,0,0,0,0,0,0,9.271374199
ADA,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1.353333843
EF1D,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1.051636586
FABP5,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1.133151418
THIO,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1.852354049
STMN2,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1.879714059
NUDT5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,11.34097688
EZRI,1,1,0,0,1,1,1,1,0,0,0,1,0,0,4.8460174
EFNB1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,3.802646086
IL2RG,1,0,0,0,0,0,1,1,0,0,0,1,0,0,3.110085735
HLAE,1,0,0,1,1,0,1,1,0,1,0,1,0,0,19.14622765
NEO1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1.772091035
PEBP1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,9.777690853
SERC,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.623391905
F10A1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1.18291512
VP13C,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1.265567383
UBC9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.572958675
PP1G,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1.139449237
TPP2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.159128046
CRCM1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3.526047303
ERF1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.003952821
XPP3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.05324925
DNA2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1.262393652
AT1A3,1,0,0,1,1,0,1,0,0,1,0,0,0,0,6.536985188
PARK7,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1.342484557
ANXA1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1.429422402
UB2Q1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.63102377
PSB1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,3.305011349
PSB5,1,1,0,0,1,1,0,0,0,0,0,0,0,0,6.958054171
AP2S1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,2.529008807
TRXR1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1.27985361
TYB4,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1.329218647
CYTB,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1.541123451
MAP1A,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2.046617396
F234B,1,0,0,0,0,1,0,0,0,1,0,0,0,0,5.662806982
AP3B1,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1.16551558
NIT2,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1.180385289
SV2A,1,0,0,1,0,0,1,1,0,0,0,0,0,0,4.462312549
TCOF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.241200924
ELP2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.376264229
MRP,1,0,0,0,1,1,1,0,0,0,0,0,0,0,3.316872936
EPB41,1,1,0,0,1,1,1,0,0,0,0,0,0,0,2.077486643
ITCH,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1.276573581
GSHR,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1.016066881
H37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.323897162
NHRF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.202850705
